year,YoY Change,volatility,code
2002,-18.399450549450545,8.916446882026495,MAR
2003,32.83618269107753,10.654112495239785,MAR
2004,14.614834827832679,10.866108184930523,MAR
2005,22.17052686512375,8.47118088580335,MAR
2006,71.63690400773237,19.712744281220054,MAR
2007,36.83619417819741,16.442445097977362,MAR
2008,-18.486058908711467,17.350291914207,MAR
2009,-2.5019428986345793,13.622328880538548,MAR
2010,22.03707205438139,9.868786313781783,MAR
2011,-12.842225875633407,12.772749690703037,MAR
2012,-14.589956339441922,9.885076763965065,MAR
2013,-2.385044159182259,8.851505243853564,MAR
2014,5.448368168626594,6.977589923003735,MAR
2015,-7.830914873605099,8.27514370058346,MAR
2016,30.115526032736106,9.845449910275455,MAR
2017,7.396893309997998,10.60404037568495,MAR
2018,-8.968973804664193,7.894848685843048,MAR
2019,7.11893219554951,7.698043748318167,MAR
2020,-6.359553697567588,20.156180313225942,MAR
2021,17.24234317326905,6.79999466318576,MAR
